company,statementDate,quarter,year,accountClassification,account,amount
AMD,2013-12-31,4,2013,2 - Non-Current Assets,2.2 - Goodwill,553000000.0
AMD,2013-12-31,4,2013,2 - Non-Current Assets,2.3 - Other Intangible Assets,358000000.0
AMD,2013-12-31,4,2013,2 - Non-Current Assets,2.4 - Other Non-Current Assets,196000000.0
AMD,2013-12-31,4,2013,3 - Current Liabilities,3.1 - Accounts Payable,910000000.0
AMD,2013-12-31,4,2013,3 - Current Liabilities,3.2 - Accrued Liabilities,317000000.0
AMD,2013-12-31,4,2013,3 - Current Liabilities,3.3 - Other Current Liabilities,391000000.0
AMD,2013-12-31,4,2013,4 - Non-Current Liabilities,4.1 - Long-Term Debt,1998000000.0
AMD,2013-12-31,4,2013,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,177000000.0
AMD,2013-12-31,4,2013,5 - Equity,5.1 - Stockholders Equity,544000000.0
AMD,2012-12-31,4,2012,1 - Current Assets,1.1 - Cash & Cash Equivalents,549000000.0
AMD,2012-12-31,4,2012,1 - Current Assets,1.2 - Short Term Investments,453000000.0
AMD,2012-12-31,4,2012,1 - Current Assets,1.3 - Accounts Receivable,630000000.0
AMD,2012-12-31,4,2012,1 - Current Assets,1.4 - Inventory,562000000.0
AMD,2012-12-31,4,2012,1 - Current Assets,1.5 - Other Current Assets,71000000.0
AMD,2012-12-31,4,2012,2 - Non-Current Assets,2.1 - Net PPE,658000000.0
AMD,2012-12-31,4,2012,2 - Non-Current Assets,2.2 - Goodwill,553000000.0
AMD,2012-12-31,4,2012,2 - Non-Current Assets,2.3 - Other Intangible Assets,96000000.0
AMD,2012-12-31,4,2012,2 - Non-Current Assets,2.4 - Other Non-Current Assets,428000000.0
AMD,2012-12-31,4,2012,3 - Current Liabilities,3.1 - Accounts Payable,750000000.0
AMD,2012-12-31,4,2012,3 - Current Liabilities,3.2 - Accrued Liabilities,313000000.0
AMD,2012-12-31,4,2012,3 - Current Liabilities,3.3 - Other Current Liabilities,334000000.0
AMD,2012-12-31,4,2012,4 - Non-Current Liabilities,4.1 - Long-Term Debt,2037000000.0
AMD,2012-12-31,4,2012,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,28000000.0
AMD,2012-12-31,4,2012,5 - Equity,5.1 - Stockholders Equity,538000000.0
AMD,2011-12-31,4,2011,1 - Current Assets,1.1 - Cash & Cash Equivalents,869000000.0
AMD,2011-12-31,4,2011,1 - Current Assets,1.2 - Short Term Investments,896000000.0
AMD,2011-12-31,4,2011,1 - Current Assets,1.3 - Accounts Receivable,919000000.0
AMD,2011-12-31,4,2011,1 - Current Assets,1.4 - Inventory,476000000.0
AMD,2011-12-31,4,2011,1 - Current Assets,1.5 - Other Current Assets,69000000.0
AMD,2011-12-31,4,2011,2 - Non-Current Assets,2.1 - Net PPE,726000000.0
AMD,2011-12-31,4,2011,2 - Non-Current Assets,2.2 - Goodwill,323000000.0
AMD,2011-12-31,4,2011,2 - Non-Current Assets,2.3 - Other Intangible Assets,0.0
AMD,2011-12-31,4,2011,2 - Non-Current Assets,2.4 - Other Non-Current Assets,676000000.0
AMD,2011-12-31,4,2011,3 - Current Liabilities,3.1 - Accounts Payable,560000000.0
AMD,2011-12-31,4,2011,3 - Current Liabilities,3.2 - Accrued Liabilities,369000000.0
AMD,2011-12-31,4,2011,3 - Current Liabilities,3.3 - Other Current Liabilities,845000000.0
AMD,2011-12-31,4,2011,4 - Non-Current Liabilities,4.1 - Long-Term Debt,1527000000.0
AMD,2011-12-31,4,2011,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,63000000.0
AMD,2011-12-31,4,2011,5 - Equity,5.1 - Stockholders Equity,1590000000.0
AMD,2010-12-31,4,2010,1 - Current Assets,1.1 - Cash & Cash Equivalents,606000000.0
AMD,2010-12-31,4,2010,1 - Current Assets,1.2 - Short Term Investments,1183000000.0
AMD,2010-12-31,4,2010,1 - Current Assets,1.3 - Accounts Receivable,968000000.0
AMD,2010-12-31,4,2010,1 - Current Assets,1.4 - Inventory,632000000.0
AMD,2010-12-31,4,2010,1 - Current Assets,1.5 - Other Current Assets,205000000.0
AMD,2010-12-31,4,2010,2 - Non-Current Assets,2.1 - Net PPE,700000000.0
AMD,2010-12-31,4,2010,2 - Non-Current Assets,2.2 - Goodwill,323000000.0
AMD,2010-12-31,4,2010,2 - Non-Current Assets,2.3 - Other Intangible Assets,37000000.0
AMD,2010-12-31,4,2010,2 - Non-Current Assets,2.4 - Other Non-Current Assets,310000000.0
AMD,2010-12-31,4,2010,3 - Current Liabilities,3.1 - Accounts Payable,581000000.0
AMD,2010-12-31,4,2010,3 - Current Liabilities,3.2 - Accrued Liabilities,698000000.0
AMD,2010-12-31,4,2010,3 - Current Liabilities,3.3 - Other Current Liabilities,395000000.0
AMD,2010-12-31,4,2010,4 - Non-Current Liabilities,4.1 - Long-Term Debt,2188000000.0
AMD,2010-12-31,4,2010,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,89000000.0
AMD,2010-12-31,4,2010,5 - Equity,5.1 - Stockholders Equity,1013000000.0
AMD,2009-12-31,4,2009,1 - Current Assets,1.1 - Cash & Cash Equivalents,1657000000.0
AMD,2009-12-31,4,2009,1 - Current Assets,1.2 - Short Term Investments,1019000000.0
AMD,2009-12-31,4,2009,1 - Current Assets,1.3 - Accounts Receivable,745000000.0
AMD,2009-12-31,4,2009,1 - Current Assets,1.4 - Inventory,567000000.0
AMD,2009-12-31,4,2009,1 - Current Assets,1.5 - Other Current Assets,287000000.0
AMD,2009-12-31,4,2009,2 - Non-Current Assets,2.1 - Net PPE,3809000000.0
AMD,2009-12-31,4,2009,2 - Non-Current Assets,2.2 - Goodwill,323000000.0
AMD,2009-12-31,4,2009,2 - Non-Current Assets,2.3 - Other Intangible Assets,98000000.0
AMD,2009-12-31,4,2009,2 - Non-Current Assets,2.4 - Other Non-Current Assets,573000000.0
AMD,2009-12-31,4,2009,3 - Current Liabilities,3.1 - Accounts Payable,647000000.0
AMD,2009-12-31,4,2009,3 - Current Liabilities,3.2 - Accrued Liabilities,795000000.0
AMD,2009-12-31,4,2009,3 - Current Liabilities,3.3 - Other Current Liabilities,768000000.0
AMD,2009-12-31,4,2009,4 - Non-Current Liabilities,4.1 - Long-Term Debt,4252000000.0
AMD,2009-12-31,4,2009,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,892000000.0
AMD,2009-12-31,4,2009,5 - Equity,5.1 - Stockholders Equity,1724000000.0
AMD,2008-12-31,4,2008,1 - Current Assets,1.1 - Cash & Cash Equivalents,933000000.0
AMD,2008-12-31,4,2008,1 - Current Assets,1.2 - Short Term Investments,163000000.0
AMD,2008-12-31,4,2008,1 - Current Assets,1.3 - Accounts Receivable,320000000.0
AMD,2008-12-31,4,2008,1 - Current Assets,1.4 - Inventory,656000000.0
AMD,2008-12-31,4,2008,1 - Current Assets,1.5 - Other Current Assets,307000000.0
AMD,2008-12-31,4,2008,2 - Non-Current Assets,2.1 - Net PPE,4296000000.0
AMD,2008-12-31,4,2008,2 - Non-Current Assets,2.2 - Goodwill,323000000.0
AMD,2008-12-31,4,2008,2 - Non-Current Assets,2.3 - Other Intangible Assets,168000000.0
AMD,2008-12-31,4,2008,2 - Non-Current Assets,2.4 - Other Non-Current Assets,509000000.0
AMD,2008-12-31,4,2008,3 - Current Liabilities,3.1 - Accounts Payable,631000000.0
AMD,2008-12-31,4,2008,3 - Current Liabilities,3.2 - Accrued Liabilities,947000000.0
AMD,2008-12-31,4,2008,3 - Current Liabilities,3.3 - Other Current Liabilities,648000000.0
AMD,2008-12-31,4,2008,4 - Non-Current Liabilities,4.1 - Long-Term Debt,4702000000.0
AMD,2008-12-31,4,2008,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,660000000.0
AMD,2008-12-31,4,2008,5 - Equity,5.1 - Stockholders Equity,87000000.0
AMD,2007-12-31,4,2007,1 - Current Assets,1.1 - Cash & Cash Equivalents,1432000000.0
AMD,2007-12-31,4,2007,1 - Current Assets,1.2 - Short Term Investments,457000000.0
AMD,2007-12-31,4,2007,1 - Current Assets,1.3 - Accounts Receivable,640000000.0
AMD,2007-12-31,4,2007,1 - Current Assets,1.4 - Inventory,821000000.0
AMD,2007-12-31,4,2007,1 - Current Assets,1.5 - Other Current Assets,466000000.0
AMD,2007-12-31,4,2007,2 - Non-Current Assets,2.1 - Net PPE,4720000000.0
