company,statementDate,quarter,year,accountClassification,account,amount
AMD,2018-03-31,1,2018,2 - Operating Expenses,2.1 - SG&A,-134000000.0
AMD,2018-03-31,1,2018,2 - Operating Expenses,2.2 - R&D,-343000000.0
AMD,2018-03-31,1,2018,2 - Operating Expenses,2.3 - Operating Expenses,0.0
AMD,2018-03-31,1,2018,3 - Other Income/Expenses,3.1 - Net Interest Expense,-31000000.0
AMD,2018-03-31,1,2018,3 - Other Income/Expenses,3.2 - Net Other Expenses,1000000.0
AMD,2018-03-31,1,2018,4 - Taxes,4.1 - Taxes,9000000.0
AMD,2017-12-31,4,2017,1 - Gross Profit,1.1 - Revenue,1480000000.0
AMD,2017-12-31,4,2017,1 - Gross Profit,1.2 - COGS,-965000000.0
AMD,2017-12-31,4,2017,2 - Operating Expenses,2.1 - SG&A,-133000000.0
AMD,2017-12-31,4,2017,2 - Operating Expenses,2.2 - R&D,-300000000.0
AMD,2017-12-31,4,2017,2 - Operating Expenses,2.3 - Operating Expenses,0.0
AMD,2017-12-31,4,2017,3 - Other Income/Expenses,3.1 - Net Interest Expense,-25000000.0
AMD,2017-12-31,4,2017,3 - Other Income/Expenses,3.2 - Net Other Expenses,-4000000.0
AMD,2017-12-31,4,2017,4 - Taxes,4.1 - Taxes,-8000000.0
AMD,2017-09-30,3,2017,1 - Gross Profit,1.1 - Revenue,1643000000.0
AMD,2017-09-30,3,2017,1 - Gross Profit,1.2 - COGS,-1070000000.0
AMD,2017-09-30,3,2017,2 - Operating Expenses,2.1 - SG&A,-132000000.0
AMD,2017-09-30,3,2017,2 - Operating Expenses,2.2 - R&D,-315000000.0
AMD,2017-09-30,3,2017,2 - Operating Expenses,2.3 - Operating Expenses,0.0
AMD,2017-09-30,3,2017,3 - Other Income/Expenses,3.1 - Net Interest Expense,-31000000.0
AMD,2017-09-30,3,2017,3 - Other Income/Expenses,3.2 - Net Other Expenses,-3000000.0
AMD,2017-09-30,3,2017,4 - Taxes,4.1 - Taxes,21000000.0
AMD,2017-06-30,2,2017,1 - Gross Profit,1.1 - Revenue,1222000000.0
AMD,2017-06-30,2,2017,1 - Gross Profit,1.2 - COGS,-818000000.0
AMD,2017-06-30,2,2017,2 - Operating Expenses,2.1 - SG&A,-125000000.0
AMD,2017-06-30,2,2017,2 - Operating Expenses,2.2 - R&D,-279000000.0
AMD,2017-06-30,2,2017,2 - Operating Expenses,2.3 - Operating Expenses,25000000.0
AMD,2017-06-30,2,2017,3 - Other Income/Expenses,3.1 - Net Interest Expense,-32000000.0
AMD,2017-06-30,2,2017,3 - Other Income/Expenses,3.2 - Net Other Expenses,-3000000.0
AMD,2017-06-30,2,2017,4 - Taxes,4.1 - Taxes,6000000.0
AMD,2017-03-31,1,2017,1 - Gross Profit,1.1 - Revenue,984000000.0
AMD,2017-03-31,1,2017,1 - Gross Profit,1.2 - COGS,-653000000.0
AMD,2017-03-31,1,2017,2 - Operating Expenses,2.1 - SG&A,-121000000.0
AMD,2017-03-31,1,2017,2 - Operating Expenses,2.2 - R&D,-266000000.0
AMD,2017-03-31,1,2017,2 - Operating Expenses,2.3 - Operating Expenses,27000000.0
AMD,2017-03-31,1,2017,3 - Other Income/Expenses,3.1 - Net Interest Expense,-32000000.0
AMD,2017-03-31,1,2017,3 - Other Income/Expenses,3.2 - Net Other Expenses,-5000000.0
AMD,2017-03-31,1,2017,4 - Taxes,4.1 - Taxes,7000000.0
AMD,2016-12-31,4,2016,1 - Gross Profit,1.1 - Revenue,1106000000.0
AMD,2016-12-31,4,2016,1 - Gross Profit,1.2 - COGS,-755000000.0
AMD,2016-12-31,4,2016,2 - Operating Expenses,2.1 - SG&A,-121000000.0
AMD,2016-12-31,4,2016,2 - Operating Expenses,2.2 - R&D,-264000000.0
AMD,2016-12-31,4,2016,2 - Operating Expenses,2.3 - Operating Expenses,31000000.0
AMD,2016-12-31,4,2016,3 - Other Income/Expenses,3.1 - Net Interest Expense,-32000000.0
AMD,2016-12-31,4,2016,3 - Other Income/Expenses,3.2 - Net Other Expenses,-9000000.0
AMD,2016-12-31,4,2016,4 - Taxes,4.1 - Taxes,7000000.0
AMD,2016-09-30,3,2016,1 - Gross Profit,1.1 - Revenue,1307000000.0
AMD,2016-09-30,3,2016,1 - Gross Profit,1.2 - COGS,-1248000000.0
AMD,2016-09-30,3,2016,2 - Operating Expenses,2.1 - SG&A,-117000000.0
AMD,2016-09-30,3,2016,2 - Operating Expenses,2.2 - R&D,-259000000.0
AMD,2016-09-30,3,2016,2 - Operating Expenses,2.3 - Operating Expenses,24000000.0
AMD,2016-09-30,3,2016,3 - Other Income/Expenses,3.1 - Net Interest Expense,-41000000.0
