Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,37.759998,39.959999,36.790001,37.660000,26.701778,370903000
2007-02-01,37.799999,43.610001,37.000000,40.299999,28.573601,460870300
2007-03-01,39.560001,44.119999,39.040001,42.660000,30.337351,474542000
2007-04-01,42.680000,46.330002,41.599998,43.799999,31.148041,324762400
2007-05-01,44.009998,47.720001,42.139999,42.950001,30.543566,424282800
2007-06-01,43.529999,43.990002,40.980000,43.389999,30.954348,409815600
2007-07-01,43.599998,45.580002,41.270000,41.650002,29.713026,405505600
2007-08-01,41.520000,42.349998,35.230000,39.889999,28.457443,563697300
2007-09-01,39.900002,43.060001,36.680000,42.259998,30.260063,364964300
2007-10-01,42.049999,43.400002,40.049999,42.730000,30.596607,366864000
2007-11-01,42.259998,42.700001,36.599998,40.779999,29.200319,464896700
2007-12-01,40.619999,41.570000,37.750000,39.349998,28.176367,296516800
2008-01-01,38.230000,42.660000,35.169998,42.419998,30.483047,558692000
2008-02-01,42.270000,44.849998,38.950001,42.389999,30.461512,381698000
2008-03-01,42.009998,42.119999,36.910000,41.000000,29.557470,411079300
2008-04-01,41.250000,44.009998,40.650002,43.189999,31.136255,355046600
2008-05-01,43.200001,49.500000,42.830002,48.540001,34.993156,375340100
2008-06-01,48.610001,50.820000,44.340000,44.369999,32.092052,510431500
2008-07-01,44.150002,56.000000,42.689999,55.340000,40.026470,639374400
2008-08-01,55.490002,56.880001,52.220001,52.650002,38.080849,335477400
2008-09-01,53.310001,53.540001,37.820000,42.970001,31.172686,575805500
2008-10-01,42.790001,43.240002,32.209999,38.259998,27.755804,696842500
2008-11-01,38.209999,38.880001,28.160000,33.570000,24.353436,493757600
2008-12-01,32.669998,36.380001,29.340000,35.830002,25.992956,416690600
2009-01-01,35.650002,37.709999,33.290001,34.549999,25.184549,427386600
2009-02-01,34.160000,36.900002,32.669998,33.430000,24.368149,441853700
2009-03-01,32.930000,39.700001,32.639999,38.910000,28.494884,524996000
2009-04-01,38.270000,44.590000,38.060001,42.320000,30.992119,426584500
2009-05-01,42.310001,44.209999,39.849998,43.590000,31.922178,323523300
2009-06-01,44.099998,46.730000,42.849998,45.200001,33.231728,404673800
2009-07-01,45.369999,48.720001,42.669998,46.209999,33.974293,380797100
2009-08-01,46.669998,48.200001,44.639999,46.419998,34.128685,289107200
2009-09-01,46.040001,46.750000,44.000000,44.980000,33.190052,378933300
2009-10-01,44.610001,44.639999,40.150002,41.330002,30.496777,460557600
2009-11-01,41.349998,46.250000,41.080002,45.000000,33.204807,297577100
2009-12-01,45.000000,46.990002,44.049999,46.259998,34.263699,242574100
2010-01-01,46.790001,49.799999,38.490002,39.189999,29.027113,573440200
2010-02-01,39.250000,39.970001,36.470001,36.680000,27.168026,611008200
2010-03-01,36.820000,43.840000,35.459999,41.959999,31.216490,656161500
2010-04-01,42.169998,43.389999,37.779999,38.680000,28.776293,515748800
2010-05-01,38.910000,39.049999,34.520000,35.560001,26.455154,456356500
2010-06-01,35.450001,36.810001,32.730000,32.840000,24.562643,436026500
2010-07-01,32.790001,39.660000,31.629999,38.080002,28.481901,464414400
2010-08-01,38.330002,40.000000,37.450001,38.299999,28.646444,351828600
2010-09-01,38.959999,45.750000,38.919998,45.130001,33.924374,389606700
2010-10-01,45.509998,45.630001,42.450001,45.160000,33.946926,311684400
2010-11-01,45.520000,49.450001,44.619999,46.820000,35.194756,382881200
2010-12-01,47.320000,50.310001,47.299999,49.490002,37.349770,226519300
2011-01-01,49.889999,55.000000,49.590000,54.130001,40.851555,358451100
2011-02-01,54.299999,59.799999,53.810001,59.580002,44.964619,281260100
2011-03-01,59.840000,59.840000,50.099998,54.830002,41.515270,423496600
2011-04-01,55.070000,58.459999,51.450001,57.090000,43.226448,294357800
2011-05-01,57.439999,58.590000,55.419998,58.590000,44.362190,244854300
2011-06-01,58.430000,58.950001,52.130001,56.790001,43.164127,285193300
2011-07-01,56.790001,59.480000,54.060001,54.779999,41.636398,310773300
2011-08-01,55.340000,55.439999,45.980000,51.459999,39.112965,459187100
