name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,03/31/1987,03/31/1986
			NonCurrentDeferredTaxesAssets,"1,245,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"144,000,000","169,000,000","95,000,000","71,000,000","47,000,000","134,000,000","125,000,000","106,000,000","247,000,000","249,000,000","310,000,000","573,000,000","509,000,000","520,000,000","773,000,000","1,027,942,000","382,406,000","345,575,000","718,694,000","554,995,000","473,579,000","444,584,000","422,473,000","349,315,000","328,804,000","298,408,000","194,872,000","60,719,000","17,100,000","39,300,000","68,200,000","22,800,000","13,500,000","17,900,000","2,600,000","1,900,000"
TotalLiabilitiesNetMinorityInterest,"3,125,000,000","3,201,000,000","3,290,000,000","2,929,000,000","2,905,000,000","3,521,000,000","3,580,000,000","3,793,000,000","3,462,000,000","3,364,000,000","3,951,000,000","7,354,000,000","7,588,000,000","8,295,000,000","7,072,000,000","3,700,954,000","3,993,516,000","3,938,395,000","3,151,916,000","2,092,187,000","2,596,068,000","2,398,425,000","2,247,919,000","1,485,728,000","1,123,405,000","931,140,000","710,437,000","576,960,000","401,400,000","508,400,000","475,400,000","431,500,000","436,500,000","453,800,000","371,000,000","342,300,000"
	CurrentLiabilities,"2,417,000,000","2,359,000,000","1,984,000,000","1,486,000,000","1,346,000,000","1,403,000,000","1,440,000,000","1,618,000,000","1,397,000,000","1,774,000,000","1,674,000,000","2,210,000,000","2,226,000,000","2,625,000,000","2,852,000,000","1,821,961,000","1,846,376,000","1,452,270,000","1,372,079,000","1,313,937,000","1,224,109,000","910,652,000","840,719,000","726,770,000","583,473,000","621,736,000","592,167,000","454,619,000","352,500,000","455,300,000","317,500,000","275,800,000","266,200,000","254,700,000","188,900,000","142,400,000"
		PayablesAndAccruedExpenses,"1,829,000,000","2,000,000,000","1,588,000,000","1,131,000,000","1,098,000,000","901,000,000","1,052,000,000","1,227,000,000","1,063,000,000","929,000,000","1,279,000,000","1,442,000,000","1,578,000,000","2,016,000,000","2,231,000,000","1,490,321,000","1,291,995,000","1,010,152,000","1,131,960,000","878,027,000","754,090,000","660,882,000","502,255,000","494,192,000","327,575,000","302,800,000","231,692,000","211,133,000","61,700,000","74,400,000","84,600,000","67,700,000",,,,
			Payables,"546,000,000","1,201,000,000","1,089,000,000","837,000,000","847,000,000","574,000,000","672,000,000","910,000,000","750,000,000","560,000,000","581,000,000","647,000,000","631,000,000","1,009,000,000","1,338,000,000","855,834,000","655,123,000","492,616,000","352,438,000","304,990,000","477,369,000","387,193,000","333,975,000","359,536,000","224,139,000","223,708,000","149,122,000","127,151,000","61,700,000","74,400,000","84,600,000","67,700,000",,,,
				AccountsPayable,"468,000,000","988,000,000","528,000,000","384,000,000","440,000,000","279,000,000","415,000,000","519,000,000","278,000,000","540,000,000","581,000,000","647,000,000","631,000,000","1,009,000,000","1,338,000,000","855,834,000","655,123,000","492,616,000","352,438,000","304,990,000","477,369,000","387,193,000","333,975,000","359,536,000","224,139,000","223,708,000","149,122,000","127,151,000","61,700,000","74,400,000","84,600,000","67,700,000",,,,
				DuetoRelatedPartiesCurrent,"78,000,000","213,000,000","533,000,000","412,000,000","383,000,000","245,000,000","218,000,000","364,000,000","454,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherPayable,,,"28,000,000","41,000,000","24,000,000","50,000,000","39,000,000","27,000,000","18,000,000","20,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"1,283,000,000","799,000,000","499,000,000","294,000,000","251,000,000","327,000,000","380,000,000","317,000,000","313,000,000","369,000,000","698,000,000","795,000,000","947,000,000","1,007,000,000","893,000,000","634,487,000","636,872,000","517,536,000","779,522,000","573,037,000","276,721,000","273,689,000","168,280,000","134,656,000","103,436,000","79,092,000","82,570,000","83,982,000",,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"513,000,000","285,000,000","236,000,000","206,000,000","116,000,000","95,000,000","139,000,000","186,000,000","158,000,000","161,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,,"43,000,000","136,000,000","70,000,000",,"230,000,000","177,000,000","60,000,000","5,000,000","489,000,000","233,000,000","308,000,000","286,000,000","238,000,000","125,000,000","43,225,000","230,828,000","193,266,000","161,689,000","331,698,000","129,570,000","47,626,000","151,581,000","72,965,000","42,363,000","56,931,000","60,354,000","52,199,000","46,700,000","168,600,000","61,000,000","52,400,000","61,800,000","34,600,000","36,700,000","10,800,000"
			CurrentDebt,,,"136,000,000","70,000,000",,"230,000,000","177,000,000","60,000,000","5,000,000","489,000,000","233,000,000","308,000,000","286,000,000","238,000,000","125,000,000","43,225,000","230,828,000","193,266,000","161,689,000","331,698,000","129,570,000","47,626,000","151,581,000","72,965,000","42,363,000","56,931,000","60,354,000","52,199,000","46,700,000","168,600,000","61,000,000","52,400,000","61,800,000","34,600,000","36,700,000","10,800,000"
				CurrentNotesPayable,,,,,,,,,,,,,,,,,,,"913,000","63,362,000",,,"6,017,000","6,601,000","14,692,000","27,070,000","32,459,000","30,994,000",,,,,,,,
				OtherCurrentBorrowings,,,,,,,,,,,,,,,,,,,"160,776,000","268,336,000",,,"145,564,000","66,364,000","27,671,000","29,861,000","27,895,000","21,205,000",,,,,,,,
			CurrentCapitalLeaseObligation,,"43,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,"2,000,000",,"22,000,000","63,000,000","53,000,000","72,000,000","145,000,000","108,000,000","123,000,000","143,000,000","138,000,000","50,000,000","101,000,000","169,000,000","141,898,000","141,738,000","116,949,000","57,184,000","47,978,000","92,828,000","92,917,000","84,523,000","83,508,000","95,466,000","100,057,000","83,800,000",,,,,,,,,
			CurrentDeferredRevenue,,"2,000,000",,"22,000,000","63,000,000","53,000,000","72,000,000","145,000,000","108,000,000","123,000,000","143,000,000","138,000,000","50,000,000","101,000,000","169,000,000","141,898,000","141,738,000","116,949,000","57,184,000","47,978,000","92,828,000","92,917,000","84,523,000","83,508,000","95,466,000","100,057,000","83,800,000",,,,,,,,,
		OtherCurrentLiabilities,"75,000,000","29,000,000","24,000,000","57,000,000","69,000,000","124,000,000",,,"63,000,000","72,000,000","19,000,000","322,000,000","312,000,000","270,000,000","327,000,000","146,517,000","181,815,000","131,903,000","21,246,000","56,234,000","247,621,000","109,227,000","102,360,000","76,105,000","118,069,000","161,948,000","216,321,000","191,287,000","244,100,000","212,300,000","171,900,000","155,700,000","204,400,000","220,100,000","152,200,000","131,600,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"708,000,000","842,000,000","1,306,000,000","1,443,000,000","1,559,000,000","2,118,000,000","2,140,000,000","2,175,000,000","2,065,000,000","1,590,000,000","2,277,000,000","5,144,000,000","5,362,000,000","5,670,000,000","4,220,000,000","1,878,993,000","2,147,140,000","2,486,125,000","1,779,837,000","778,250,000","1,371,959,000","1,487,773,000","1,407,200,000","758,958,000","539,932,000","309,404,000","118,270,000","122,341,000","48,900,000","53,100,000","157,900,000","155,700,000","170,300,000","199,100,000","182,100,000","199,900,000"
		LongTermDebtAndCapitalLeaseObligation,"531,000,000","685,000,000","1,114,000,000","1,325,000,000","1,435,000,000","2,032,000,000","2,035,000,000","1,998,000,000","2,037,000,000","1,527,000,000","2,188,000,000","4,252,000,000","4,702,000,000","5,031,000,000","3,672,000,000","1,327,065,000","1,628,268,000","1,899,674,000","1,779,837,000","672,945,000","1,167,973,000","1,427,282,000","1,372,416,000","662,689,000","444,830,000","214,965,000","75,752,000","79,504,000","19,700,000","42,000,000","131,300,000","126,400,000","130,400,000","135,900,000","134,000,000","151,600,000"
			LongTermDebt,"330,000,000","486,000,000","1,114,000,000","1,325,000,000","1,435,000,000","2,032,000,000","2,035,000,000","1,998,000,000","2,037,000,000","1,527,000,000","2,188,000,000","4,252,000,000","4,702,000,000","5,031,000,000","3,672,000,000","1,327,065,000","1,628,268,000","1,899,674,000","1,779,837,000","672,945,000","1,167,973,000","1,427,282,000","1,372,416,000","662,689,000","444,830,000","214,965,000","75,752,000","79,504,000","19,700,000","42,000,000","131,300,000","126,400,000","130,400,000","135,900,000","134,000,000","151,600,000"
			LongTermCapitalLeaseObligation,"201,000,000","199,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,,,,,,,,,,,"0","197,000,000","91,000,000","6,000,000","31,000,000","92,606,000","104,246,000","157,690,000",,"105,305,000","203,986,000","60,491,000","34,784,000","96,269,000","95,102,000","94,439,000","42,518,000","42,837,000","29,100,000","11,000,000","26,500,000","29,300,000","39,900,000","63,300,000","48,200,000","48,200,000"
			NonCurrentDeferredTaxesLiabilities,,,,,,,,,,,"0","197,000,000","91,000,000","6,000,000","31,000,000","92,606,000","104,246,000","157,690,000",,"105,305,000","203,986,000","60,491,000","34,784,000","96,269,000","95,102,000","94,439,000","42,518,000","42,837,000","29,100,000","11,000,000","26,500,000","29,300,000","39,900,000","63,300,000","48,200,000","48,200,000"
		OtherNonCurrentLiabilities,"177,000,000","157,000,000","192,000,000","118,000,000","124,000,000","86,000,000","105,000,000","177,000,000","28,000,000","63,000,000","89,000,000","695,000,000","569,000,000","633,000,000","517,000,000","459,322,000","414,626,000","428,761,000",,,,,,,,,,,"100,000","100,000","100,000",,,"-100,000","-100,000","100,000"
TotalEquityGrossMinorityInterest,"5,837,000,000","2,827,000,000","1,266,000,000","611,000,000","416,000,000","-412,000,000","187,000,000","544,000,000","538,000,000","1,590,000,000","1,013,000,000","1,724,000,000","87,000,000","3,255,000,000","6,075,000,000","3,586,825,000","3,850,694,000","3,155,950,000","2,467,265,000","3,555,055,000","3,171,667,000","1,979,273,000","2,005,049,000","2,029,543,000","2,021,878,000","2,100,128,000","1,735,265,000","1,352,271,000","1,046,700,000","783,400,000","636,300,000","690,900,000","644,800,000","659,900,000","472,500,000","389,200,000"
	StockholdersEquity,"5,837,000,000","2,827,000,000","1,266,000,000","611,000,000","416,000,000","-412,000,000","187,000,000","544,000,000","538,000,000","1,590,000,000","1,013,000,000","648,000,000","-82,000,000","2,990,000,000","5,785,000,000","3,351,837,000","3,010,053,000","2,438,310,000","2,467,265,000","3,555,055,000","3,171,667,000","1,979,273,000","2,005,049,000","2,029,543,000","2,021,878,000","2,100,128,000","1,735,265,000","1,352,271,000","1,046,700,000","783,400,000","636,300,000","690,900,000","644,800,000","659,900,000","472,500,000","389,200,000"
		CapitalStock,"12,000,000","12,000,000","10,000,000","9,000,000","9,000,000","8,000,000","8,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","6,000,000","6,000,000","5,000,000","4,355,000","3,915,000","3,502,000","3,445,000","3,405,000","3,141,000","1,496,000","1,465,000","1,428,000","1,380,000","1,047,000","990,000","961,000",,,,,,,,
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,000","35,000",,,,,,,,
			CommonStock,"12,000,000","12,000,000","10,000,000","9,000,000","9,000,000","8,000,000","8,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","6,000,000","6,000,000","5,000,000","4,355,000","3,915,000","3,502,000","3,445,000","3,405,000","3,141,000","1,496,000","1,465,000","1,428,000","1,380,000","1,047,000","956,000","926,000",,,,,,,,
		AdditionalPaidInCapital,"10,544,000,000","9,963,000,000","8,750,000,000","8,464,000,000","8,334,000,000","7,017,000,000","6,949,000,000","6,894,000,000","6,803,000,000","6,672,000,000","6,575,000,000","6,524,000,000","6,099,000,000","6,016,000,000","5,409,000,000","2,800,306,000","2,407,770,000","2,051,254,000","2,014,464,000","1,966,374,000","1,406,290,000","1,121,956,000","1,071,591,000","1,018,884,000","957,226,000","735,825,000","698,673,000","619,733,000",,,,,,,,
		RetainedEarnings,"-4,605,000,000","-7,095,000,000","-7,436,000,000","-7,760,000,000","-7,803,000,000","-7,306,000,000","-6,646,000,000","-6,243,000,000","-6,160,000,000","-4,977,000,000","-5,468,000,000","-5,939,000,000","-6,198,000,000","-3,100,000,000","308,000,000","473,678,000","308,497,000","217,891,000","492,668,000","1,795,680,000","1,856,261,000","873,235,000","962,171,000","1,066,100,000","1,063,272,000","1,363,256,000","1,035,602,000","731,577,000","513,100,000","278,500,000","143,500,000","207,500,000","171,700,000","199,300,000","173,400,000","269,200,000"
		TreasuryStock,"131,000,000","53,000,000","50,000,000","108,000,000","119,000,000","123,000,000","119,000,000","112,000,000","109,000,000","107,000,000","102,000,000","98,000,000","97,000,000","95,000,000","93,000,000","90,138,000","91,101,000","92,421,000","93,217,000","77,157,000",,,,,,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"17,000,000","0","-8,000,000","6,000,000","-5,000,000","-8,000,000","-5,000,000","-2,000,000","-3,000,000","-5,000,000","1,000,000","154,000,000","108,000,000","163,000,000","156,000,000","163,636,000","380,970,000","258,084,000","49,905,000","-133,247,000","-94,025,000","-17,414,000","-30,178,000","-56,900,000",,,,,,,,,,,,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,,"141,000,000","150,000,000",,,,,,,,,,,,,,,,,,,,,
