name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
			FinishedGoods,"286,000,000","321,100,000","327,200,000","311,000,000","301,900,000","213,300,000","244,700,000","203,000,000","197,600,000","147,800,000","100,900,000","82,900,000","131,800,000","85,200,000","82,400,000","63,400,000","70,700,000","87,100,000","81,900,000","80,700,000",,"76,800,000"
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,"-42,400,000","-43,700,000","-51,300,000",,
		PrepaidAssets,,,,,,"12,600,000","28,700,000","24,800,000","24,300,000","26,900,000",,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,"10,500,000","10,000,000","15,700,000","15,100,000","6,700,000","6,700,000","7,100,000","7,400,000","2,800,000","2,700,000","6,400,000","9,200,000","40,700,000","28,400,000"
			CurrentDeferredTaxesAssets,,,,,,,,,"10,500,000","10,000,000","15,700,000","15,100,000","6,700,000","6,700,000","7,100,000","7,400,000","2,800,000","2,700,000","6,400,000","9,200,000","40,700,000","28,400,000"
		OtherCurrentAssets,"176,000,000","188,400,000","187,000,000","193,000,000","181,000,000","54,800,000","71,500,000","32,800,000","53,100,000","53,700,000","63,600,000","51,500,000","55,500,000","68,300,000","34,300,000","29,900,000","23,600,000","25,700,000","36,600,000","35,800,000","39,600,000","26,000,000"
	TotalNonCurrentAssets,"5,483,900,000","5,405,500,000","4,419,800,000","4,262,200,000","4,055,300,000","1,979,100,000","2,017,200,000","1,546,800,000","1,635,000,000","1,755,800,000","1,561,200,000","1,245,700,000","1,309,000,000","892,300,000","715,700,000","548,200,000","573,100,000","638,700,000","696,100,000","809,600,000","1,224,500,000","979,700,000"
		NetPPE,"2,512,300,000","2,591,600,000","2,549,600,000","2,279,100,000","2,159,100,000","1,274,100,000","1,203,900,000","1,074,200,000","1,103,300,000","1,109,500,000","864,300,000","705,500,000","770,800,000","614,900,000","578,100,000","438,500,000","472,000,000","499,100,000","454,100,000","555,500,000","648,200,000","569,700,000"
			GrossPPE,"5,507,700,000","5,261,000,000","4,926,100,000","4,347,000,000","3,991,100,000","2,887,300,000","2,695,400,000","2,438,400,000","2,619,200,000","2,558,900,000","2,163,800,000","1,891,900,000","1,875,000,000","1,621,000,000","1,554,100,000","1,355,000,000","1,435,100,000","1,388,800,000","1,254,600,000","1,471,900,000",,"1,557,200,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
				LandAndImprovements,"119,700,000","125,200,000","125,500,000","148,400,000","146,300,000","46,200,000","46,100,000","52,300,000","67,400,000","76,600,000","48,300,000","42,000,000","40,200,000","28,300,000","27,900,000","14,900,000","16,200,000","16,100,000","11,700,000","11,400,000",,"12,000,000"
				BuildingsAndImprovements,"850,000,000","860,600,000","820,400,000","744,000,000","713,700,000","513,600,000","484,300,000","467,700,000","572,400,000","539,300,000","484,400,000","429,700,000","419,000,000","376,500,000","368,900,000","335,900,000","364,500,000","350,500,000","449,600,000","505,300,000",,"257,900,000"
				MachineryFurnitureEquipment,"4,538,000,000","4,275,200,000","3,980,200,000","3,454,600,000","3,131,100,000","2,327,500,000","2,165,000,000","1,918,400,000","1,979,400,000","1,943,000,000","1,631,100,000","1,420,200,000","1,415,800,000","1,216,200,000","1,157,300,000","1,004,200,000","1,054,400,000","1,022,200,000","793,300,000","955,200,000",,"1,287,300,000"
			AccumulatedDepreciation,"-2,995,400,000","-2,669,400,000","-2,376,500,000","-2,067,900,000","-1,832,000,000","-1,613,200,000","-1,491,500,000","-1,364,200,000","-1,515,900,000","-1,449,400,000","-1,299,500,000","-1,186,400,000","-1,104,200,000","-1,006,100,000","-976,000,000","-916,500,000","-963,100,000","-889,700,000","-800,500,000","-916,400,000",,"-987,500,000"
		GoodwillAndOtherIntangibleAssets,"2,132,400,000","2,249,700,000","1,498,900,000","1,545,500,000","1,686,800,000","597,400,000","722,300,000","408,000,000","441,600,000","535,900,000","494,200,000","474,100,000","493,600,000","229,900,000","91,100,000","77,300,000","77,300,000","77,300,000","104,000,000","117,200,000","140,800,000",
			Goodwill,"1,663,400,000","1,659,200,000","932,500,000","916,900,000","924,700,000","270,600,000","264,700,000","184,600,000","613,600,000","198,700,000","191,200,000","175,400,000","160,200,000","172,400,000","80,700,000",,,,,,,
			OtherIntangibleAssets,"469,000,000","590,500,000","566,400,000","628,600,000","762,100,000","326,800,000","457,600,000","223,400,000","-172,000,000","337,200,000","303,000,000","298,700,000","333,400,000","57,500,000","10,400,000","77,300,000","77,300,000","77,300,000","104,000,000","117,200,000",,
		InvestmentsAndAdvances,,,,,,,,,,,"142,100,000","5,900,000",,,,,,,,,"45,300,000",
			LongTermEquityInvestment,,,,,,,,,,,,,,,,,,,,,"45,300,000",
				InvestmentsinJointVenturesatCost,,,,,,,,,,,,,,,,,,,,,"45,300,000",
		NonCurrentDeferredAssets,"429,000,000","307,800,000","266,200,000","339,100,000","138,900,000",,,,"31,200,000","34,200,000",,,,,,,,"1,300,000",,"1,300,000","286,800,000","289,000,000"
			NonCurrentDeferredTaxesAssets,"429,000,000","307,800,000","266,200,000","339,100,000","138,900,000",,,,"31,200,000","34,200,000",,,,,,,,"1,300,000",,"1,300,000","286,800,000","289,000,000"
		OtherNonCurrentAssets,"410,200,000","256,400,000","105,100,000","98,500,000","70,500,000","107,600,000","91,000,000","64,600,000","58,900,000","76,200,000","202,700,000","66,100,000","44,600,000","47,500,000","46,500,000","32,400,000","23,800,000","61,000,000","138,000,000","135,600,000","103,400,000","121,000,000"
TotalLiabilitiesNetMinorityInterest,"5,109,900,000","5,101,400,000","4,393,500,000","4,394,100,000","5,079,400,000","2,237,700,000","2,175,600,000","1,770,200,000","1,937,700,000","2,390,000,000","1,531,200,000","1,409,700,000","1,658,200,000","1,603,200,000","1,621,100,000","1,424,000,000","1,622,500,000","1,779,600,000","1,861,100,000","1,772,100,000","1,678,600,000","1,634,800,000"
	CurrentLiabilities,"1,674,500,000","1,818,400,000","1,469,300,000","1,408,900,000","1,502,600,000","1,239,300,000","1,040,800,000","819,200,000","1,024,300,000","1,275,500,000","710,900,000","619,000,000","544,000,000","420,900,000","433,000,000","398,300,000","325,100,000","310,200,000","312,000,000","334,900,000","405,100,000","327,300,000"
		PayablesAndAccruedExpenses,"909,600,000","835,100,000","1,036,000,000","880,800,000","714,200,000","514,000,000","596,700,000","406,300,000","423,900,000","500,400,000","425,400,000","314,300,000","322,000,000","266,200,000","278,700,000","221,800,000","206,000,000","230,900,000","220,900,000","215,100,000","399,500,000","295,400,000"
			Payables,"598,400,000","566,100,000","709,900,000","577,900,000","482,800,000","357,300,000","378,200,000","276,800,000","284,400,000","459,300,000","262,000,000","177,900,000","182,300,000","163,500,000","165,700,000","137,300,000","104,400,000","115,700,000","77,400,000","111,500,000","197,300,000","122,500,000"
				AccountsPayable,"572,900,000","543,600,000","671,700,000","548,000,000","434,000,000","337,700,000","378,200,000","276,800,000","279,500,000","451,800,000","256,900,000","172,900,000","178,200,000","163,500,000","165,700,000","137,300,000","104,400,000","115,700,000","77,400,000","111,500,000","175,000,000","122,500,000"
				TotalTaxPayable,"25,500,000","22,500,000","38,200,000","29,900,000","30,000,000",,,,"4,900,000","7,500,000","5,100,000","5,000,000","4,100,000",,,,,,,,"22,300,000",
					IncomeTaxPayable,"25,500,000","22,500,000","38,200,000","29,900,000","30,000,000",,,,"4,900,000","7,500,000","5,100,000","5,000,000","4,100,000",,,,,,,,"22,300,000",
				OtherPayable,,,,,"18,800,000","19,600,000",,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"311,200,000","269,000,000","326,100,000","302,900,000","231,400,000","156,700,000","218,500,000","129,500,000","139,500,000","41,100,000","163,400,000","136,400,000","139,700,000","102,700,000","113,000,000","84,500,000","101,600,000","115,200,000","143,500,000","103,600,000","202,200,000","172,900,000"
				InterestPayable,,,,,,,"1,800,000","1,900,000","600,000","700,000","800,000","900,000","1,300,000",,,,,,,,"17,900,000",
		CurrentProvisions,"233,300,000","247,300,000","294,800,000","280,000,000","124,800,000","69,900,000","69,200,000","80,400,000","82,000,000",,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,"200,000","10,400,000","7,400,000","136,600,000",,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"531,600,000","736,000,000","138,500,000","248,100,000","553,800,000","543,400,000","209,600,000","181,600,000","353,600,000","370,100,000","136,000,000","205,900,000","107,900,000","30,800,000","27,900,000","73,900,000","20,000,000","11,400,000","9,300,000","12,400,000","5,600,000",
			CurrentDebt,"531,600,000","736,000,000","138,500,000","248,100,000","553,800,000","543,400,000","209,600,000","181,600,000","353,600,000","370,100,000","136,000,000","205,900,000","107,900,000","30,800,000","27,900,000","73,900,000","20,000,000","11,400,000","9,300,000","12,400,000","5,600,000",
		CurrentDeferredLiabilities,,,,"0","109,800,000","112,000,000","165,100,000","140,500,000","157,400,000","205,600,000","149,500,000","98,800,000","114,100,000","120,400,000","123,200,000","97,100,000","96,700,000","66,200,000","70,800,000",,,
			CurrentDeferredTaxesLiabilities,,,,,,,,,"22,900,000","33,600,000",,,,,,,,,,,,
			CurrentDeferredRevenue,,,,"0","109,800,000","112,000,000","165,100,000","140,500,000","134,500,000","172,000,000","149,500,000","98,800,000","114,100,000","120,400,000","123,200,000","97,100,000","96,700,000","66,200,000","70,800,000",,,
		OtherCurrentLiabilities,,,,,,,"1,800,000","1,900,000","600,000","62,800,000",,,,"3,500,000","3,200,000","5,500,000","2,400,000","1,700,000","11,000,000","107,400,000",,"31,900,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"3,435,400,000","3,283,000,000","2,924,200,000","2,985,200,000","3,576,800,000","998,400,000","1,134,800,000","951,000,000","913,400,000","1,114,500,000","820,300,000","790,700,000","1,114,200,000","1,182,300,000","1,188,100,000","1,025,700,000","1,297,400,000","1,469,400,000","1,549,100,000","1,437,200,000","1,273,500,000","1,307,500,000"
