name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989
		PrepaidAssets,"64,557,000","65,771,000","88,695,000","87,711,000","95,226,000","74,528,000","51,828,000","91,760,000","48,029,000","57,100,000","25,972,000","27,604,000","16,079,000","19,177,000","14,484,000","80,283,000","60,796,000","40,346,000","119,289,000",,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,"0","79,519,000","56,166,000","60,709,000","64,822,000","88,064,000","101,126,000","63,709,000","106,842,000","100,344,000","110,928,000","125,342,000","90,386,000","150,147,000","142,026,000","151,530,000","91,282,000","54,911,000","38,694,000","36,420,000","32,945,000",,,,,,,
			CurrentDeferredTaxesAssets,,,,,"0","79,519,000","56,166,000","60,709,000","64,822,000","88,064,000","101,126,000","63,709,000","106,842,000","100,344,000","110,928,000","125,342,000","90,386,000","150,147,000","142,026,000","151,530,000","91,282,000","54,911,000","38,694,000","36,420,000","32,945,000",,,,,,,
		OtherCurrentAssets,"64,557,000","65,771,000",,"87,711,000",,,,"229,175,000","1,917,627,000","1,926,413,000","1,386,605,000",,"13,654,000","48,340,000","66,547,000",,,,,"64,344,000","75,538,000","74,881,000","83,142,000","4,673,000","9,034,000","130,000,000","84,400,000","66,600,000","67,300,000","52,400,000","1,200,000","300,000"
	TotalNonCurrentAssets,"1,784,193,000","1,259,370,000","911,201,000","860,416,000","904,221,000","963,014,000","1,970,202,000","2,431,812,000","2,013,813,000","1,518,064,000","1,277,252,000","1,073,047,000","1,316,911,000","1,479,253,000","1,525,299,000","1,572,832,000","1,635,921,000","1,246,394,000","1,336,607,000","1,400,317,000","1,307,714,000","412,539,000","341,014,000","246,138,000","182,174,000","64,700,000","32,000,000","26,100,000","25,200,000","12,100,000","5,400,000","3,400,000"
		NetPPE,"430,393,000","328,929,000","304,117,000","303,825,000","283,346,000","301,038,000","355,089,000","365,687,000","394,982,000","380,570,000","365,878,000","387,907,000","404,430,000","413,036,000","358,257,000","344,516,000","335,114,000","382,983,000","449,770,000","417,176,000","240,374,000","101,705,000","88,279,000","86,580,000","82,638,000","39,200,000","23,800,000","20,500,000","16,800,000","10,600,000","5,200,000","3,000,000"
			GrossPPE,"1,047,134,000","902,993,000","855,023,000","839,458,000","810,582,000","804,623,000","810,030,000","784,796,000","788,422,000","747,941,000","714,905,000","776,808,000","789,446,000","760,197,000","666,360,000","629,812,000","581,735,000","612,150,000","646,787,000","554,624,000","336,942,000","187,482,000","163,635,000","154,443,000","128,283,000","70,500,000","45,100,000","36,900,000","27,600,000","16,800,000","8,700,000","5,100,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,
				LandAndImprovements,"65,298,000","65,298,000","65,298,000","65,298,000","65,298,000","65,298,000","93,701,000","93,701,000","94,260,000","94,260,000","94,260,000","94,194,000","94,184,000","94,187,000","63,521,000","61,445,000","61,445,000","72,974,000","86,291,000","86,742,000","49,944,000","10,361,000","10,361,000","3,111,000","2,426,000",,,,,,,
				BuildingsAndImprovements,"376,879,000","353,914,000","343,373,000","339,923,000","310,795,000","312,610,000","311,411,000","303,958,000","314,455,000","301,642,000","300,393,000","298,543,000","288,338,000","281,334,000","246,550,000","237,775,000","226,833,000","247,452,000","289,919,000","218,234,000","98,674,000","36,941,000","27,414,000","26,840,000","18,029,000",,,,,,,
				MachineryFurnitureEquipment,"547,138,000","483,781,000","446,352,000","434,237,000","434,489,000","426,715,000","404,918,000","387,137,000","379,707,000","352,039,000","320,252,000","384,071,000","406,924,000","384,676,000","356,289,000","330,592,000","293,457,000","291,724,000","270,577,000","249,648,000","188,324,000","129,104,000","125,857,000","124,492,000","102,920,000",,,,,,,
				OtherProperties,"57,819,000",,,,,,,,,,,,,,,,,,,,,,"3,000",,,,,,,,,
				ConstructionInProgress,,,,,,,,,,,,,,,,,,,,,,"11,076,000",,,"4,908,000",,,,,,,
			AccumulatedDepreciation,"-616,741,000","-574,064,000","-550,906,000","-535,633,000","-527,236,000","-503,585,000","-454,941,000","-419,109,000","-393,440,000","-367,371,000","-349,027,000","-388,901,000","-385,016,000","-347,161,000","-308,103,000","-285,296,000","-246,621,000","-229,167,000","-197,017,000","-137,448,000","-96,568,000","-85,777,000","-75,356,000","-67,863,000","-45,645,000","-31,300,000","-21,300,000","-16,400,000","-10,800,000","-6,200,000","-3,500,000","-2,100,000"
		GoodwillAndOtherIntangibleAssets,"940,979,000","421,441,000","166,544,000","164,863,000","165,498,000","172,048,000","188,163,000","195,044,000","185,870,000","160,476,000","117,955,000","120,448,000","125,780,000","132,581,000","147,735,000","139,419,000","128,440,000","119,414,000","134,674,000",,,,,,,,,"5,600,000","8,400,000","1,500,000","300,000",
			Goodwill,"619,196,000","340,718,000","162,421,000","161,287,000","159,296,000","159,296,000","159,296,000","158,990,000","149,538,000","133,580,000","117,955,000","117,955,000","117,955,000","117,955,000","125,084,000",,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"321,783,000","80,723,000","4,123,000","3,576,000","6,202,000","12,752,000","28,867,000","36,054,000","36,332,000","26,896,000",,"2,493,000","7,825,000","14,626,000","22,651,000","139,419,000","128,440,000","119,414,000","134,674,000",,,,,,,,,"5,600,000","8,400,000","1,500,000","300,000",
		InvestmentsAndAdvances,"101,026,000","53,433,000","97,896,000","116,288,000","220,807,000","266,902,000","1,190,775,000","1,651,033,000","1,209,228,000","766,452,000","635,458,000","388,340,000",,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"101,026,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,"101,026,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInvestments,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"149,415,000","126,702,000",,,,,,,,,"95,737,000","98,670,000","66,072,000","57,802,000",,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"149,415,000","126,702,000",,,,,,,,,"63,691,000","77,387,000","66,072,000","57,802,000",,,,,,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,,,,,,,,,,,,"2,556,000",,,,,,,,,,,,,,,,,,,,
		DefinedPensionBenefit,"111,092,000","109,271,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"51,288,000","219,594,000","342,644,000","275,440,000","234,570,000","223,026,000","236,175,000","220,048,000","223,733,000","210,566,000","62,224,000","75,126,000","720,629,000","875,834,000","1,019,307,000","1,088,897,000","1,172,367,000","743,997,000","752,163,000","983,141,000","1,067,340,000","310,834,000","252,735,000","159,558,000","99,536,000","25,500,000","8,200,000",,,,"-100,000","400,000"
