name,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999
		RetainedEarnings,"18,908,000,000","14,971,000,000","12,565,000,000","8,787,000,000","6,108,000,000","4,350,000,000","3,948,877,000","3,504,742,000","3,246,088,000","2,730,418,000","2,149,328,000","1,896,182,000","1,964,169,000","1,994,210,000","1,196,565,000","875,100,000","572,514,000","472,158,000","397,739,000","306,940,000","128,623,000","28,700,000","-9,400,000"
		TreasuryStock,"10,756,000,000","9,814,000,000","9,263,000,000","6,650,000,000","5,039,000,000","4,048,000,000","3,394,585,000","2,537,295,000","1,622,709,000","1,496,904,000","1,479,392,000","1,463,268,000","1,463,268,000","1,039,632,000","487,120,000","212,142,000","24,644,000",,,,,,
		GainsLossesNotAffectingRetainedEarnings,"19,000,000","1,000,000","-12,000,000","-18,000,000","-16,000,000","-4,000,000","7,844,000","4,877,000","9,981,000","10,614,000","10,272,000","12,172,000","3,865,000","8,034,000","1,436,000","-3,633,000","-6,389,000","-4,618,000","3,760,000","108,000","-6,000","-100,000",
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,"73,600,000"
TotalCapitalization,"22,857,000,000","14,195,000,000","11,330,000,000","9,456,000,000","7,745,000,000","4,469,000,000","5,802,324,000","5,812,773,000","4,827,703,000","4,145,724,000","3,181,462,000","2,665,140,000","2,394,652,000","2,617,912,000","2,006,919,000","1,457,756,000","1,178,268,000","1,051,185,000","1,232,687,000","1,063,819,000","706,092,000","126,100,000","66,200,000"
CommonStockEquity,"16,893,000,000","12,204,000,000","9,342,000,000","7,471,000,000","5,762,000,000","4,469,000,000","4,417,982,000","4,456,398,000","4,827,703,000","4,145,724,000","3,181,462,000","2,665,140,000","2,394,652,000","2,617,912,000","2,006,919,000","1,457,756,000","1,178,268,000","1,051,185,000","932,687,000","763,819,000","405,714,000","124,600,000","64,200,000"
CapitalLeaseObligations,"755,000,000","652,000,000",,,"6,000,000","10,000,000","14,086,000","17,500,000","18,998,000","21,439,000","23,389,000","24,450,000","25,634,000",,,,,"856,000","4,880,000","5,861,000",,,
NetTangibleAssets,"9,963,000,000","11,537,000,000","8,679,000,000","6,801,000,000","5,040,000,000","3,685,000,000","3,578,089,000","3,517,207,000","3,874,341,000","3,178,558,000","2,522,873,000","2,174,838,000","1,877,707,000","2,156,929,000","1,659,983,000","1,297,018,000","1,042,647,000","902,313,000","856,216,000","682,700,000","405,714,000","124,600,000","64,200,000"
WorkingCapital,"12,130,000,000","11,906,000,000","9,228,000,000","8,102,000,000","6,717,000,000","3,615,000,000","4,817,267,000","4,679,215,000","3,799,035,000","2,975,400,000","2,284,268,000","1,696,452,000","1,389,367,000","1,921,668,000","1,392,963,000","1,110,273,000","883,770,000","718,600,000","972,154,000","800,615,000","820,074,000","97,000,000","54,000,000"
InvestedCapital,"23,856,000,000","14,195,000,000","11,330,000,000","9,471,000,000","8,572,000,000","5,969,000,000","5,802,324,000","5,812,773,000","4,827,703,000","4,145,724,000","3,181,462,000","2,665,140,000","2,394,652,000","2,617,912,000","2,006,919,000","1,457,756,000","1,179,124,000","1,055,200,000","1,238,363,000","1,067,715,000","706,680,000","127,900,000","72,600,000"
TangibleBookValue,"9,963,000,000","11,537,000,000","8,679,000,000","6,801,000,000","5,040,000,000","3,685,000,000","3,578,089,000","3,517,207,000","3,874,341,000","3,178,558,000","2,522,873,000","2,174,838,000","1,877,707,000","2,156,929,000","1,659,983,000","1,297,018,000","1,042,647,000","902,313,000","856,216,000","682,700,000","405,714,000","124,600,000","64,200,000"
TotalDebt,"7,718,000,000","2,643,000,000","1,988,000,000","2,000,000,000","2,816,000,000","1,510,000,000","1,398,428,000","1,373,875,000","18,998,000","21,439,000","23,389,000","24,450,000","25,634,000",,,,"856,000","4,871,000","310,556,000","309,757,000","300,966,000","3,300,000","8,400,000"
NetDebt,"6,116,000,000","1,991,000,000","1,206,000,000","2,000,000,000","1,044,000,000","904,000,000","887,688,000","204,788,000",,,,,,,,,,,,,,,
ShareIssued,"965,000,000","984,505,616","606,000,000","932,000,000","868,000,000","780,000,000","758,872,000","735,242,458","720,153,197","705,352,099","680,598,737","652,391,708","537,063,084","557,102,588","541,212,150","514,175,280","501,018,126","492,191,265","473,133,498","448,435,173","410,530,734","373,013,496","344,743,628"
OrdinarySharesNumber,"620,000,000","641,991,192","606,000,000","606,000,000","585,000,000","538,000,000","544,913,000","567,996,734","616,756,134","612,191,412","588,555,701","561,465,851","537,063,084","557,102,588","541,212,150","514,175,280","501,018,126","492,191,265","473,133,498","448,435,173","410,530,734","373,013,496","344,743,628"
TreasurySharesNumber,"345,000,000","342,514,424",,"326,000,000","283,000,000","242,000,000","213,959,000","167,245,724","103,397,063","93,160,687","92,043,036","90,925,857",,,,,,,,,,,
