name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989
		Inventory,"64,599,000","54,980,000","67,096,000","79,903,000","79,168,000","75,896,000","64,925,000","46,222,000","44,194,000","37,278,000","37,333,000","25,925,000","32,703,000","40,005,000","38,816,000","28,581,000","38,634,000","46,630,000","56,241,000","64,926,000","59,493,000","26,000,000","17,700,000","22,600,000","27,800,000","21,800,000","14,100,000","13,800,000","13,500,000","6,100,000","6,900,000","4,100,000","3,600,000"
			WorkInProcess,,"39,855,000","47,224,000","49,642,000","50,688,000","57,865,000","49,554,000","32,111,000","27,915,000","24,260,000","25,516,000","15,046,000","22,167,000","28,933,000","27,952,000","20,348,000","29,148,000","34,327,000","40,515,000","44,460,000",,,,,,,,,,,,,
			FinishedGoods,,"15,125,000","19,872,000","30,261,000","28,480,000","18,031,000","15,371,000","14,111,000","16,279,000","13,018,000","11,817,000","10,879,000","10,536,000","11,072,000","10,864,000","8,233,000","9,486,000","12,303,000","15,726,000","20,466,000",,,,,,,,,,,,,
		PrepaidAssets,,"24,452,000","27,762,000","16,567,000","19,035,000","18,922,000","16,281,000","13,679,000","12,806,000","16,200,000","8,648,000","7,980,000","7,663,000","9,745,000","11,760,000","23,258,000","22,325,000","16,173,000","35,033,000","28,747,000","23,249,000",,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,"31,591,000","49,093,000",,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,"31,591,000","49,093,000",,,,,,,,,,,,
		OtherCurrentAssets,"22,331,000","24,452,000","27,762,000","16,567,000","19,035,000","18,922,000","16,281,000","13,679,000","12,806,000","225,651,000","246,868,000","11,475,000","19,157,000","27,440,000","23,714,000","1,356,000","24,202,000","35,364,000",,,,"40,200,000","260,600,000","227,000,000","203,000,000","189,500,000","101,200,000","82,100,000","3,200,000","58,400,000","47,700,000","400,000","300,000"
	TotalNonCurrentAssets,"346,224,000","349,586,000","339,264,000","372,590,000","452,183,000","500,057,000","112,108,000","122,075,000","141,411,000","167,319,000","52,298,000","53,086,000","80,100,000","184,739,000","395,863,000","374,893,000","409,863,000","448,915,000","546,735,000","497,698,000","578,953,000","602,200,000","159,500,000","151,000,000","92,900,000","54,100,000","51,800,000","20,100,000","18,600,000","11,600,000","12,000,000","5,700,000","4,400,000"
		NetPPE,"61,844,000","62,821,000","34,883,000","40,423,000","49,481,000","51,852,000","27,796,000","41,719,000","40,384,000","40,430,000","39,322,000","36,507,000","40,307,000","43,617,000","46,696,000","45,450,000","47,586,000","53,800,000","62,786,000","63,222,000","68,554,000","59,700,000","45,000,000","36,700,000","27,400,000","25,500,000","20,100,000","19,800,000","18,400,000","11,500,000","12,000,000","5,600,000","4,300,000"
			GrossPPE,"61,844,000","188,811,000","176,250,000","171,683,000","184,267,000","170,795,000","181,874,000","209,608,000","209,307,000","212,618,000","204,059,000","196,711,000","193,725,000","194,253,000","199,543,000","192,045,000","190,284,000","181,698,000","177,153,000","159,373,000",,"126,300,000","101,800,000","84,500,000","66,800,000","56,900,000","45,000,000","33,700,000","32,300,000","21,200,000","19,700,000","12,400,000","11,200,000"
				Properties,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,
				LandAndImprovements,,,,,,,"0","1,456,000","1,456,000","1,456,000","1,456,000","1,456,000","1,456,000","1,456,000","2,099,000","2,099,000","2,099,000","2,099,000","2,099,000","2,099,000",,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,"3,554,000","3,554,000","3,516,000","27,827,000","27,827,000","27,809,000","27,672,000","27,972,000","41,337,000","42,073,000","41,738,000","41,584,000","43,303,000","42,704,000","38,536,000","38,216,000",,,,,,,,,,,,,
				MachineryFurnitureEquipment,,"152,703,000","163,602,000","158,406,000","165,848,000","152,875,000","165,145,000","163,630,000","163,564,000","169,869,000","161,089,000","153,671,000","150,932,000","150,724,000","155,706,000","148,357,000","143,972,000","136,895,000","10,379,000","119,058,000",,,,,,,,,,,,,
				OtherProperties,"61,844,000","23,591,000",,,,,,,,,,,,,,,,,"123,115,000",,,,,,,,,,,,,,
